CANTON,D1_norm,D2_norm,D3_norm,IBTC,tipologia_num,tipologia,pob_total,pob_menores5,pob_mayores65,pob_0_3,pob_discapacidad,jef_fem,jef_total,pct_menores5,pct_mayores65,pct_discap,pct_jef_fem,pct_nbi
904,0.5185778033634781,0.3854500879334041,0.7948188281798708,0.5205749221547271,4,Crítico,57829,5348,4852,4228,5954,1657,28732,0.0924795517819779,0.08390254024797247,0.1029587231319926,0.057670889600445495,0.7930277196562279
905,0.29984943265657593,0.37604525613516404,0.8096713396697952,0.43229214345065503,3,Vulnerable,26251,2423,2470,1899,1826,531,13439,0.09230124566683175,0.09409165365128948,0.06955925488552817,0.039511868442592454,0.805721686792884
906,0.2555951744374937,0.17671199389254527,0.27122763302644753,0.2271683939373051,1,Cobertura Relativa,222446,16045,18507,12452,15948,6016,106825,0.0721298652257177,0.08319771989606466,0.0716938043390306,0.05631640533582963,0.345531050232416
907,0.33558919835269196,0.27539569389068747,0.6315836692109993,0.37071069073955165,2,En Transición,303910,24965,21274,19474,17587,10768,148306,0.08214603007469316,0.07000098713434899,0.057869105985324604,0.07260663762760779,0.6535158435063012
908,0.31521455067659365,0.3594971605369387,0.7037809812872231,0.41064088074285754,3,Vulnerable,79767,7147,6510,5662,7075,1593,39498,0.08959845550164855,0.08161269697995412,0.08869582659495781,0.04033115600789913,0.7152205799390725
909,0.470106602912271,0.4387182853167174,0.5201760784029693,0.46756517097218925,4,Crítico,60541,6015,4519,4691,5783,1582,29737,0.09935415668720371,0.0746436299367371,0.09552204291306718,0.05319971752362377,0.558299334335409
910,0.32394335256858353,0.291394582784809,0.3992511175738267,0.3259853976561224,2,En Transición,195943,16328,17574,12813,14697,4822,95390,0.08333035627708058,0.08968934843296265,0.07500650699438102,0.05055037215641053,0.4549486330208275
911,0.28896093346570684,0.4624785467786546,0.49258368216989057,0.3990925285317227,3,Vulnerable,83691,8436,5744,6648,5897,1790,41901,0.10079936910778937,0.06863342533844738,0.07046157890334684,0.042719744158850624,0.5347169946589239
912,0.3873101276165083,0.3056607827954827,0.39361861134287734,0.3559120864333719,2,En Transición,44169,3778,3813,2940,4030,1093,21637,0.08553510380583668,0.08632751477280445,0.09124046276800471,0.05051532097795443,0.45013470986438453
913,0.3290350288164502,0.35272289357295844,0.6538753664262082,0.40347824224100515,3,Vulnerable,18019,1597,1666,1269,1637,331,9079,0.0886286697374993,0.09245796104112326,0.0908485487540929,0.03645775966516136,0.6725678450524446
914,0.6428077154404663,0.4102527007789297,0.7094529486875021,0.5631147562252589,4,Crítico,52177,4907,4567,3921,5373,1904,26458,0.09404526898825152,0.08752898786821779,0.10297640722923894,0.07196311134628468,0.7200682292964333
916,0.131051186699581,0.07792846834950692,0.24211745632995624,0.1320153532856264,1,Cobertura Relativa,98540,6104,11272,4717,3927,2343,47699,0.061944388065760095,0.11439009539273391,0.03985183681753603,0.049120526635778525,0.3206515120763142
918,0.33832013379286374,0.2764504252892195,0.734915973941458,0.3928914184211249,3,Vulnerable,43700,3526,4289,2804,4411,819,22273,0.08068649885583525,0.09814645308924486,0.10093821510297483,0.03677097831455125,0.7418306636155606
919,0.35500342001637253,0.3393173443954285,0.9074299477088645,0.4592142953064933,4,Crítico,61060,5270,6305,4233,5222,1216,30716,0.08630854896822797,0.10325908942024238,0.08552243694726498,0.03958848808438599,0.8892728463806092
920,0.24720435456227957,0.33129454336242886,0.5462682243785586,0.3406532040455951,2,En Transición,72699,6371,5558,4992,4479,1790,36026,0.0876353182299619,0.07645222080083633,0.06161020096562539,0.04968633764503414,0.5805994580393128
921,0.36756592257108706,0.3643780251742122,0.4286292378227008,0.3785034266626599,3,Vulnerable,58768,5391,3896,4195,4852,1657,29099,0.09173359651511026,0.0662945820854887,0.0825619384699156,0.056943537578610946,0.4800571739722298
922,0.3735981905460705,0.3699380782750453,0.708719447651721,0.43915839705879056,3,Vulnerable,29427,2688,2637,2114,2601,638,14820,0.09134468345397084,0.08961158120093791,0.08838821490467938,0.04304993252361673,0.7194413293913753
923,0.15738765695584206,0.14071562453649455,0.33165709844227736,0.18557273228539012,1,Cobertura Relativa,13183,926,1442,699,1039,180,6701,0.0702419783053933,0.10938329666995372,0.07881362360615944,0.026861662438442024,0.39717818402488053
924,0.6516768436755402,0.42046498742435506,0.5462860826682245,0.5381139489736031,4,Crítico,22254,2087,1709,1691,2422,849,11195,0.09378089332254876,0.07679518288846948,0.10883436685539678,0.07583742742295668,0.5806147209490429
925,0.4439545870413227,0.30795109876141213,0.43381159974334915,0.38752459426976377,3,Vulnerable,23850,2018,1728,1592,2150,790,11771,0.08461215932914046,0.07245283018867925,0.09014675052410902,0.06711409395973154,0.48448637316561843
927,0.33055586276798604,0.22612649718876024,0.41035283685265234,0.30474351135322897,2,En Transición,11810,906,1088,709,1177,249,5775,0.07671464860287891,0.09212531752751905,0.09966130397967823,0.043116883116883116,0.46443691786621505
928,0.4683771279242821,0.47668466777164015,0.7734495363254028,0.5327146255434495,4,Crítico,14305,1448,934,1153,1426,390,7249,0.10122334847955261,0.06529185599440755,0.09968542467668648,0.053800524210235894,0.7747640685075149
1001,0.19409157721291323,0.0726627766099324,0.10773538383038571,0.1282488182952154,1,Cobertura Relativa,217469,13339,22396,10316,13081,5579,104110,0.06133747798536803,0.10298479323489784,0.06015110199614658,0.05358755162808568,0.205799447277543
1002,0.17677615960449886,0.09560967808442948,0.18550390649595688,0.1460551163747627,1,Cobertura Relativa,53771,3442,5402,2652,2970,1362,25895,0.06401219988469621,0.10046307489167024,0.05523423406669022,0.052597026452983205,0.27226571943984673
1003,0.3302675145643427,0.23489414401292685,0.5067225153657234,0.3274091665040525,2,En Transición,53001,4081,5597,3220,4265,1207,26134,0.0769985471972227,0.10560178109846984,0.08047017980792816,0.04618504629983929,0.5468010037546461
1004,0.23283376015705648,0.16494444516485596,0.38726442354075646,0.23656416683691628,1,Cobertura Relativa,114303,8149,10914,6288,7482,2800,55015,0.07129296693875051,0.09548305818744915,0.06545759953806987,0.05089521039716441,0.4447039885217361
1005,0.3518678687615044,0.1309602893812806,0.3634614147207552,0.265823546201265,1,Cobertura Relativa,13366,894,1772,698,994,314,6542,0.06688612898398923,0.13257519078258267,0.07436779889271285,0.047997554264750844,0.42436031722280415
1006,0.40505789406872034,0.14358526130260948,0.3973646171955307,0.29893018558763806,2,En Transición,17969,1218,2168,957,1204,579,8937,0.06778340475262953,0.12065223440369525,0.06700428515777172,0.06478684122188653,0.4533363014079804
1101,0.15935697208791783,0.1377340738200884,0.15068702035388593,0.1489738224339797,1,Cobertura Relativa,250028,17160,24119,13196,15008,5412,119350,0.06863231318092373,0.09646519589805942,0.06002527716895708,0.045345622119815666,0.24250883901003087
1102,0.4241112134923097,0.15670461195379756,0.4436513471113999,0.3210565996007229,2,En Transición,26042,1818,4181,1415,2433,395,12767,0.06981030642807771,0.16054834498118425,0.09342600414714691,0.030939139970235764,0.4928960909300361
1103,0.4651442745864417,0.2539227209010848,0.27150937976528144,0.34192867414806694,2,En Transición,35240,2798,3997,2196,3816,752,17034,0.07939841089670828,0.11342224744608399,0.10828603859250852,0.04414700011741223,0.3457718501702611
1104,0.28010294816965814,0.20390614160156278,0.5638901301351261,0.30638166193551364,2,En Transición,14379,1069,1791,837,1205,219,7301,0.07434453021767856,0.12455664510744836,0.08380276792544683,0.0299958909738392,0.5956603379929063
1105,0.5276681769700804,0.11304007653434678,0.5387311893478284,0.3640295392713366,2,En Transición,6857,451,1239,348,796,93,3465,0.06577220358757474,0.1806912644013417,0.11608575178649555,0.02683982683982684,0.5741577949540615
1106,0.7028463129892418,0.14017258207457337,0.7016098333972054,0.4775295247049672,4,Crítico,14119,937,2349,748,2077,299,7146,0.06636447340463206,0.166371556059211,0.14710673560450457,0.04184158970053176,0.7133649691904526
1107,0.9089346098775594,0.06574289704777712,0.6057304695409016,0.511017096678315,4,Crítico,12247,727,2426,574,2151,279,6076,0.05936147627990528,0.19808932799869355,0.17563484935086143,0.04591836734693878,0.6314199395770392
1108,0.39252416231058385,0.20304128151044692,0.3932201126028867,0.3168702000489897,2,En Transición,18215,1352,2489,1059,1663,321,8964,0.07422454021410925,0.1366456217403239,0.0912983804556684,0.035809906291834004,0.44979412572056
1109,0.42312866020922524,0.12039775196292608,0.5335400752306249,0.3241185799149855,2,En Transición,22841,1512,3849,1173,2088,352,11310,0.0661967514557156,0.16851276213826014,0.09141456153408345,0.03112290008841733,0.5697211155378487
1110,0.19874821295592773,0.1369746795553663,0.4167330632732244,0.21763576965916248,1,Cobertura Relativa,16257,1115,2110,857,1398,160,8034,0.06858583994586948,0.12979024420249738,0.08599372577966415,0.019915359721184963,0.46988989358430217
1111,0.47684059328889294,0.2752367018536807,0.6230829592118794,0.4254475098994054,3,Vulnerable,29111,2368,3430,1865,2639,698,13631,0.08134382192298444,0.11782487719418776,0.09065301775960977,0.05120680801115105,0.6462505582082374
1112,0.387486961146175,0.270807788115275,0.7826645954941246,0.41985081880340497,3,Vulnerable,6970,542,1247,444,649,32,3502,0.07776183644189383,0.17890961262553803,0.09311334289813486,0.009137635636778984,0.7826398852223816
1113,0.25034503246402995,0.2480703407418812,0.5581594086617849,0.31099803101472145,2,En Transición,14571,1159,1706,901,1200,191,7462,0.07954155514377874,0.11708187495710658,0.08235536339304098,0.025596354864647546,0.5907624734060806
1114,0.22152273365921046,0.3105186424036223,0.7142650718080911,0.3556695647867513,2,En Transición,10409,873,1149,697,750,142,5362,0.08386972811989625,0.11038524353924488,0.0720530310308387,0.02648265572547557,0.7241809972139495
1115,0.7850141994583751,0.03471091659574914,0.6221221238084435,0.45231447118333845,3,Vulnerable,3971,221,836,176,719,44,1958,0.05565348778645177,0.21052631578947367,0.18106270460841098,0.02247191011235955,0.6454293628808865
1116,0.5274635478929195,0.07990022888586999,0.6112849153378938,0.3652024937790946,2,En Transición,4164,265,881,200,427,42,2082,0.06364073006724304,0.21157540826128723,0.10254562920268973,0.020172910662824207,0.6361671469740634
