CANTON,D1_norm,D2_norm,D3_norm,IBTC,tipologia_num,tipologia,pob_total,pob_menores5,pob_mayores65,pob_0_3,pob_discapacidad,jef_fem,jef_total,pct_menores5,pct_mayores65,pct_discap,pct_jef_fem,pct_nbi
605,0.6446903465213321,0.2725646528388146,0.49591556097092576,0.46608511193824387,4,Crítico,10635,845,1683,679,1210,215,4935,0.07945463093559003,0.15825105782792664,0.11377527033380348,0.04356636271529889,0.5375646450399624
606,0.4409947383963116,0.26108692798371747,0.9024774660903634,0.46132815977008435,4,Crítico,35769,2845,3731,2250,3454,877,17007,0.07953814755794124,0.10430819983784842,0.0965640638541754,0.05156700182277885,0.8850401185383991
607,0.28233000692638976,0.1859807927492134,0.4443246698211684,0.27618925383447496,1,Cobertura Relativa,48327,3474,5280,2742,4459,819,22811,0.0718852815196474,0.10925569557390279,0.09226726260682434,0.03590373065626233,0.4934715583421276
608,0.6660872963956032,0.27553385180968076,0.6211813302880211,0.5008847253397177,4,Crítico,11796,949,1521,756,1415,326,5677,0.080451000339098,0.12894201424211596,0.11995591726008817,0.057424696142328695,0.6446252967107494
609,0.848490979488005,0.011096642673900318,0.4278618406130384,0.42940741698736984,3,Vulnerable,6748,366,1334,286,1010,180,3202,0.05423829282750445,0.1976882039122703,0.14967397747480735,0.056214865708931916,0.4794013040901008
610,0.45183480499996304,0.3041411248814826,0.2902204953069903,0.36043447101397635,2,En Transición,16602,1418,1326,1103,1678,461,7973,0.08541139621732322,0.0798698951933502,0.10107215998072522,0.05782014298256616,0.3617636429345862
701,0.20911924842331164,0.2223516098987688,0.25687172058021596,0.22396268744487535,1,Cobertura Relativa,306309,23404,25878,18294,18651,7672,150682,0.07640650454279828,0.08448331586731046,0.06088949394239151,0.05091517234971662,0.3332615104355406
702,0.2915940555073208,0.21895386272466302,0.33122079510731817,0.2704633263142572,1,Cobertura Relativa,32366,2515,3103,1924,2716,693,16041,0.0777049990731014,0.09587221158005314,0.08391521967496755,0.04320179539928932,0.39680528950132854
703,0.47397840925208734,0.04688535498180444,0.3399743218737171,0.27634037006830015,1,Cobertura Relativa,6112,380,833,277,722,138,3117,0.06217277486910995,0.13628926701570682,0.1181282722513089,0.04427333974975938,0.4042866492146597
704,0.10451662833810929,0.11046503614064777,0.46956962957927556,0.17990659170735795,1,Cobertura Relativa,7875,529,715,398,555,147,4058,0.06717460317460318,0.09079365079365079,0.07047619047619047,0.0362247412518482,0.5150476190476191
705,0.7515306922047718,0.16044552567639708,0.5998431924200749,0.4847591256364825,4,Crítico,2251,146,387,123,408,32,1105,0.06486006219458018,0.17192358951577077,0.18125277654375832,0.02895927601809955,0.6263882718791648
706,0.258289256284258,0.43500892811199293,0.47576269500057067,0.3724718127586145,3,Vulnerable,59536,5774,4085,4595,4297,1237,30181,0.09698333781241601,0.06861394786347756,0.0721748185971513,0.040986050826679034,0.5203406342381081
707,0.19204275376042584,0.3005393571764541,0.3502703510080092,0.2670869145763538,1,Cobertura Relativa,56303,4747,3868,3724,3265,1396,27447,0.08431167078130827,0.06869971404720886,0.05798980516135908,0.0508616606550807,0.4130863364296751
708,0.49628996956606136,0.16152161756320504,0.20552146848097952,0.30422892854790246,2,En Transición,6870,502,805,376,561,236,3535,0.07307132459970887,0.11717612809315867,0.0816593886462882,0.06676096181046676,0.2893740902474527
709,0.29050751903499483,0.22078539691393842,0.2854148076810486,0.261600127915783,1,Cobertura Relativa,83597,6342,8314,4982,6880,1794,40983,0.07586396641027789,0.09945332966494012,0.08229960405277702,0.04377424785886831,0.35765637522877614
710,0.28620408062275754,0.11039464783878847,0.28433081237193164,0.21550565385900475,1,Cobertura Relativa,29406,1925,3675,1486,2311,613,14720,0.0654628307148201,0.1249744950010202,0.07858940352309053,0.041644021739130434,0.3567299190641366
711,0.20624457301988638,0.24336372765349457,0.23143618777059163,0.22613055782347075,1,Cobertura Relativa,13556,1088,1396,833,1031,200,6824,0.08025966361758631,0.10298023015638831,0.07605488344644439,0.029308323563892145,0.31152257303039244
712,0.30117496099655616,0.27760859063303484,0.22077085394487336,0.2756675914408111,1,Cobertura Relativa,80299,6568,7480,5160,6148,1823,39522,0.08179429382682225,0.09315184497938953,0.07656384263813995,0.04612620818784474,0.30240725289231496
713,0.29131139744461887,0.13053025768569876,0.36939668411012444,0.24261599887415197,1,Cobertura Relativa,24374,1603,3183,1272,2060,435,12076,0.06576680068925905,0.13058997292196603,0.08451628784770657,0.03602186154355747,0.4294330023795848
714,0.5437540557259726,0.11259514522822561,0.29964125655213475,0.32246793169210625,2,En Transición,5738,378,799,291,849,97,2920,0.0658766120599512,0.13924712443360054,0.14796096200766817,0.03321917808219178,0.3698152666434298
801,0.36251442480770196,0.34573397411625045,0.31262799601629265,0.3458249587728395,2,En Transición,211848,18968,16457,14798,13633,6222,100074,0.089535893659605,0.07768305577583928,0.06435274347645481,0.06217399124647761,0.38091461802802007
802,0.5605527385686825,0.5963276257315772,0.8871198797699684,0.6401761216740977,4,Crítico,46305,5314,2843,4187,4415,1338,22795,0.1147608249649066,0.06139725731562466,0.09534607493791167,0.058697082693573155,0.8719144800777454
803,0.676586085263203,0.6258523776304903,0.9426137592117012,0.7094981369998176,4,Crítico,36426,4306,2471,3382,3126,1359,18424,0.11821226596387197,0.0678361609839126,0.0858178224345248,0.07376248371689101,0.9193433261955746
804,0.2613799032582634,0.42332870979227744,0.7014721479725528,0.4141778748147269,3,Vulnerable,126841,12152,9095,9668,8294,2824,63368,0.09580498419280832,0.0717039443082284,0.06538895152198422,0.04456508016664563,0.7132472938560875
805,0.496055327886785,0.6069965335849126,0.7208455585747529,0.5853898563036296,4,Crítico,48391,5595,2499,4418,3158,1613,23071,0.11562067326568991,0.05164183422537249,0.06526006902109896,0.06991461141693034,0.729805129052923
806,0.5594097754861349,0.5244815876253517,0.6902727125008815,0.571611087744771,4,Crítico,51204,5516,3058,4328,3727,1937,24835,0.1077259589094602,0.05972189672681822,0.07278728224357472,0.07799476545198308,0.7036754941020232
807,0.6210068345842111,0.5720503378452997,0.9426989630325228,0.6657626615783089,4,Crítico,32885,3627,2355,2908,2830,1158,16281,0.11029344686027064,0.07161319750646192,0.08605747301201155,0.07112585222037958,0.9194161471795651
901,0.2950744654247953,0.1984909171782233,0.20151472960448702,0.23772909896210487,1,Cobertura Relativa,2746403,203878,231638,158647,151263,91809,1344265,0.07423455334122486,0.08434231975423855,0.05507676768485907,0.06829680159789922,0.28594965851697657
902,0.3859794471705429,0.40584803345432835,0.8508400988301315,0.4868990120159748,4,Crítico,25526,2419,2312,1909,2299,512,12720,0.0947661208179895,0.09057431638329547,0.09006503173235132,0.04025157232704402,0.8409073101935282
903,0.208462782567129,0.47629363217021636,0.4133113959253886,0.3565648450800159,2,En Transición,25655,2623,1526,2067,1661,490,12981,0.10224127850321575,0.05948158253751705,0.06474371467550186,0.037747477081888914,0.4669655038004288
